location,property_type,bedrooms,bathrooms,size_sqft,amenities,price_kes,listing_date,price_per_sqft,amenity_score,month
Kilimani,Apartment,1,1,699.66,Parking (1),6500000,2026-02-17,9290.22668153103,1,2
Westlands,Apartment,1,1,624.31,Parking (1),8000000,2026-02-17,12814.146818087169,1,2
Westlands,Apartment,2,2,1119.46,Parking (2),12840000,2026-02-17,11469.81580404838,1,2
Kilimani,Apartment,3,3,1453.14,Parking (3),14500000,2026-02-17,9978.391620903698,1,2
Kilimani,Apartment,3,3,1291.68,Parking (2),14000000,2026-02-17,10838.597795119535,1,2
Kilimani,Apartment,3,3,1291.68,Parking (2),13000000,2026-02-17,10064.412238325282,1,2
Kilimani,Apartment,2,2,947.23,Parking (2),9000000,2026-02-17,9501.388258395533,1,2
Kilimani,Apartment,1,1,807.3,Parking (1),7500000,2026-02-17,9290.22668153103,1,2
Kilimani,Apartment,2,2,1033.34,Parking (1),10550000,2026-02-17,10209.611550893222,1,2
Kitisuru,House,5,6,538.2,Parking (6),85000000,2026-02-17,157933.8535860275,1,2
Lavington,Apartment,1,1,688.9,Parking (1),6730000,2026-02-17,9769.197271011759,1,2
Karen,House,9,9,6458.4,Parking (4),250000000,2026-02-17,38709.277839712624,1,2
Runda,Townhouse,4,4,3229.2,Parking (3),150000000,2026-02-17,46451.13340765515,1,2
Kileleshwa,Apartment,2,2,914.94,Parking (1),7900000,2026-02-17,8634.445974599426,1,2
South C,Apartment,2,2,936.47,Parking (1),8400000,2026-02-17,8969.85488056211,1,2
Kileleshwa,Apartment,3,4,2228.15,Parking (2),19500000,2026-02-17,8751.65496039315,1,2
Lower Kabete,Apartment,1,1,322.92,Parking (1),2810000,2026-02-17,8701.845658367398,1,2
Kilimani,Apartment,2,2,1076.4,Parking (1),11000000,2026-02-17,10219.24934968413,1,2
Westlands,Apartment,3,3,1291.68,Parking (1),11200000,2026-02-17,8670.878236095627,1,2
Kileleshwa,Apartment,4,5,2906.28,Parking (2),25800000,2026-02-17,8877.327717907427,1,2
Westlands,Apartment,4,5,2723.29,Parking (2),32900000,2026-02-17,12080.975584678827,1,2
Westlands,Apartment,3,3,1808.35,Parking (2),19800000,2026-02-17,10949.207841402384,1,2
Westlands,Apartment,2,2,1399.32,Parking (2),17200000,2026-02-17,12291.684532487208,1,2
Westlands,Apartment,2,2,1173.28,Parking (2),13800000,2026-02-17,11761.898268103096,1,2
Westlands,Apartment,1,1,753.48,Parking (1),7500000,2026-02-17,9953.814301640388,1,2
South C,Apartment,3,2,1291.68,Parking (1),13600000,2026-02-17,10528.923572401833,1,2
Lavington,Townhouse,5,5,8611.2,Parking (5),160000000,2026-02-17,18580.453363062057,1,2
Loresho,Townhouse,4,5,592.02,Parking (3),110000000,2026-02-17,185804.5336306206,1,2
Kileleshwa,Apartment,4,5,2109.74,Parking (2),18000000,2026-02-17,8531.85700607658,1,2
Kilimani,Apartment,3,3,1453.14,Parking (2),14800000,2026-02-17,10184.841102715498,1,2
Parklands,Apartment,2,2,990.29,Parking (2),11373000,2026-02-17,11484.514637126498,1,2
Parklands,Apartment,1,1,764.24,Parking (1),8772000,2026-02-17,11478.06971631948,1,2
Runda,Townhouse,5,5,3229.2,Parking (3),100000000,2026-02-17,30967.4222717701,1,2
Westlands,Apartment,2,3,4316.36,Parking (2),12850000,2026-02-17,2977.04547350082,1,2
Westlands,Apartment,4,5,344.45,Parking (3),27000000,2026-02-17,78385.8324865728,1,2
Riverside,Apartment,2,2,527.44,Parking (1),28000000,2026-02-17,53086.60700743212,1,2
Kitisuru,Apartment,2,2,1205.57,Parking (2),12500000,2026-02-17,10368.539363122838,1,2
Kitisuru,Apartment,2,2,1205.57,Parking (1),12500000,2026-02-17,10368.539363122838,1,2
Parklands,Apartment,3,4,2368.08,Parking (3),65000000,2026-02-17,27448.397013614405,1,2
Kilimani,Apartment,2,2,1076.4,Parking (2),18000000,2026-02-17,16722.408026755853,1,2
Lavington,Townhouse,5,5,8611.2,"Parking (5), Security",160000000,2026-02-17,18580.453363062057,2,2
Kileleshwa,Apartment,1,1,775.01,Parking (1),6700000,2026-02-17,8645.04974129366,1,2
